node_id,neuron_type
ASIL,S
ASIR,S
ASJL,S
ASJR,S
AWAL,S
AWAR,S
ASGL,S
ASGR,S
AWBL,S
AWBR,S
ASEL,S
ASER,S
ADFL,S
ADFR,S
AFDL,S
AFDR,S
AWCL,S
AWCR,S
ASKL,S
ASKR,S
ASHL,S
ASHR,S
ADLL,S
ADLR,S
BAGL,S
BAGR,S
URXL,S
URXR,S
ALNL,S
ALNR,S
PLNL,S
PLNR,S
SDQL,S
SDQR,S
AQR,S
PQR,S
ALML,S
ALMR,S
AVM,S
PVM,S
PLML,S
PLMR,S
FLPL,S
FLPR,S
DVA,S
PVDL,S
PVDR,S
ADEL,S
ADER,S
PDEL,S
PDER,S
PHAL,S
PHAR,S
PHBL,S
PHBR,S
PHCL,S
PHCR,S
IL2DL,S
IL2DR,S
IL2L,S
IL2R,S
IL2VL,S
IL2VR,S
CEPDL,S
CEPDR,S
CEPVL,S
CEPVR,S
URYDL,S
URYDR,S
URYVL,S
URYVR,S
OLLL,S
OLLR,S
OLQDL,S
OLQDR,S
OLQVL,S
OLQVR,S
IL1DL,S
IL1DR,S
IL1L,S
IL1R,S
IL1VL,S
IL1VR,S
AINL,I
AINR,I
AIML,I
AIMR,I
RIH,I
URBL,I
URBR,I
RIR,I
AIYL,I
AIYR,I
AIAL,I
AIAR,I
AUAL,I
AUAR,I
AIZL,I
AIZR,I
RIS,I
ALA,I
PVQL,I
PVQR,I
ADAL,I
ADAR,I
RIFL,I
RIFR,I
BDUL,I
BDUR,I
PVR,I
AVFL,I
AVFR,I
AVHL,I
AVHR,I
PVPL,I
PVPR,I
LUAL,I
LUAR,I
PVNL,I
PVNR,I
AVG,I
DVB,I
RIBL,I
RIBR,I
RIGL,I
RIGR,I
RMGL,I
RMGR,I
AIBL,I
AIBR,I
RICL,I
RICR,I
SAADL,I
SAADR,I
SAAVL,I
SAAVR,I
AVKL,I
AVKR,I
DVC,I
AVJL,I
AVJR,I
PVT,I
AVDL,I
AVDR,I
AVL,I
PVWL,I
PVWR,I
RIAL,I
RIAR,I
RIML,I
RIMR,I
AVEL,I
AVER,I
RMFL,I
RMFR,I
RID,I
AVBL,I
AVBR,I
AVAL,I
AVAR,I
PVCL,I
PVCR,I
RIPL,I
RIPR,I
URADL,M
URADR,M
URAVL,M
URAVR,M
RMEL,M
RMER,M
RMED,M
RMEV,M
RMDDL,M
RMDDR,M
RMDL,M
RMDR,M
RMDVL,M
RMDVR,M
RIVL,M
RIVR,M
RMHL,M
RMHR,M
SABD,M
SABVL,M
SABVR,M
SMDDL,M
SMDDR,M
SMDVL,M
SMDVR,M
SMBDL,M
SMBDR,M
SMBVL,M
SMBVR,M
SIBDL,M
SIBDR,M
SIBVL,M
SIBVR,M
SIADL,M
SIADR,M
SIAVL,M
SIAVR,M
DA01,M
DA02,M
DA03,M
DA04,M
DA05,M
DA06,M
DA07,M
DA08,M
DA09,M
PDA,M
DB01,M
DB02,M
DB03,M
DB04,M
DB05,M
DB06,M
DB07,M
AS01,M
AS02,M
AS03,M
AS04,M
AS05,M
AS06,M
AS07,M
AS08,M
AS09,M
AS10,M
AS11,M
PDB,M
DD01,M
DD02,M
DD03,M
DD04,M
DD05,M
DD06,M
VA01,M
VA02,M
VA03,M
VA04,M
VA05,M
VA06,M
VA07,M
VA08,M
VA09,M
VA10,M
VA11,M
VA12,M
VB01,M
VB02,M
VB03,M
VB04,M
VB05,M
VB06,M
VB07,M
VB08,M
VB09,M
VB10,M
VB11,M
VD01,M
VD02,M
VD03,M
VD04,M
VD05,M
VD06,M
VD07,M
VD08,M
VD09,M
VD10,M
VD11,M
VD12,M
VD13,M
